,team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,goal,ownGoal,teamId,eventName,subEventName,accurate,freeze_frame,value_label,game_id,pass_id,xPosStart,yPosStart,episodeStart,xPosEnd,yPosEnd,episodeEnd
6,Away,BALL LOST,INTERCEPTION,1,139,13.9,152,15.2,B17,,0.51,0.97,0.27,0.75,1,0,0,2,Pass,Interception,0,"{'B25': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 89.03152800000001, 'start_y': 39.11004, 'start_vx': 0.903955, 'start_vy': 0.055462, 'end_x': 89.912592, 'end_y': 39.250800000000005, 'end_vx': 0.331593, 'end_vy': 0.269804}, 'B15': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 56.658096, 'start_y': 29.470464, 'start_vx': 1.391151, 'start_vy': -2.172116, 'end_x': 57.053592, 'end_y': 28.733832, 'end_vx': -0.654533, 'end_vy': 1.26006}, 'B16': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 62.0919, 'start_y': 41.431536, 'start_vx': 1.97608, 'start_vy': -1.595063, 'end_x': 62.121276, 'end_y': 40.058496000000005, 'end_vx': -1.74053, 'end_vy': -0.039607}, 'B17': {'teammate': True, 'actor': True, 'ball': False, 'start_x': 55.023408, 'start_y': 69.636096, 'start_vx': 0.704339, 'start_vy': -0.735909, 'end_x': 56.137968, 'end_y': 69.261336, 'end_vx': 1.08041, 'end_vy': -0.446791}, 'B18': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 34.424028, 'start_y': 54.041256, 'start_vx': 1.406862, 'start_vy': -1.903334, 'end_x': 34.93692, 'end_y': 53.234784000000005, 'end_vx': -0.262035, 'end_vy': 0.60811}, 'B19': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 44.28550799999999, 'start_y': 40.034808, 'start_vx': 0.946337, 'start_vy': -2.328141, 'end_x': 44.292204, 'end_y': 37.50336, 'end_vx': -0.520953, 'end_vy': -0.982471}, 'B20': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 60.73909200000001, 'start_y': 58.615416, 'start_vx': 1.287035, 'start_vy': -1.636349, 'end_x': 58.82835600000001, 'end_y': 56.351088, 'end_vx': -3.650292, 'end_vy': -1.759118}, 'B21': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 34.0065, 'start_y': 68.87937600000001, 'start_vx': 3.089877, 'start_vy': 0.471884, 'end_x': 37.442196, 'end_y': 66.82716, 'end_vx': 2.108079, 'end_vy': -3.173461}, 'B22': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 46.566576, 'start_y': 71.046216, 'start_vx': 0.173691, 'start_vy': 0.7385, 'end_x': 46.15596, 'end_y': 71.03505600000001, 'end_vx': -0.728884, 'end_vy': -0.960076}, 'B23': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 34.119036, 'start_y': 25.983504, 'start_vx': 0.496362, 'start_vy': 3.100011, 'end_x': 32.828004, 'end_y': 29.777616, 'end_vx': -1.747004, 'end_vy': 2.739214}, 'B24': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 31.631904, 'start_y': 47.466576, 'start_vx': -1.753062, 'start_vy': 4.680777, 'end_x': 28.17666, 'end_y': 53.479656, 'end_vx': -2.14553, 'end_vy': 4.200879}, 'A11': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 7.521984000000001, 'start_y': 36.17136000000001, 'start_vx': 0.634645, 'start_vy': 0.175405, 'end_x': 7.992323999999999, 'end_y': 36.526320000000005, 'end_vx': 0.067667, 'end_vy': 0.073413}, 'A01': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 38.176272, 'start_y': 66.65212799999999, 'start_vx': -1.949669, 'start_vy': 0.184456, 'end_x': 34.85484, 'end_y': 65.81498400000001, 'end_vx': -3.105141, 'end_vy': -1.274548}, 'A02': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 31.22496, 'start_y': 59.227344, 'start_vx': -0.788027, 'start_vy': -2.765134, 'end_x': 28.8819, 'end_y': 55.974888, 'end_vx': -1.619335, 'end_vy': -1.753358}, 'A03': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 29.336364000000003, 'start_y': 45.543456000000006, 'start_vx': -3.004167, 'start_vy': 2.469855, 'end_x': 24.748740000000005, 'end_y': 49.2912, 'end_vx': -2.559419, 'end_vy': 2.177349}, 'A04': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 32.208084, 'start_y': 30.513168, 'start_vx': 0.56167, 'start_vy': 1.922875, 'end_x': 29.586276000000005, 'end_y': 32.264495999999994, 'end_vx': -2.886601, 'end_vy': 0.516784}, 'A05': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 49.449204, 'start_y': 66.493008, 'start_vx': 2.513523, 'start_vy': 0.836476, 'end_x': 49.779792, 'end_y': 65.473416, 'end_vx': -1.554266, 'end_vy': -1.477462}, 'A06': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 41.911344, 'start_y': 53.875872, 'start_vx': 0.726153, 'start_vy': -0.24535, 'end_x': 41.144328, 'end_y': 53.70552, 'end_vx': -0.946344, 'end_vy': -0.177999}, 'A07': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 39.744216, 'start_y': 43.38647999999999, 'start_vx': 0.522106, 'start_vy': -1.333663, 'end_x': 37.873764, 'end_y': 42.486912, 'end_vx': -2.390803, 'end_vy': 0.338314}, 'A08': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 40.887504, 'start_y': 29.261807999999995, 'start_vx': 2.012999, 'start_vy': -1.274172, 'end_x': 41.598684000000006, 'end_y': 27.701352, 'end_vx': -0.507054, 'end_vy': -1.00752}, 'A09': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 52.285716, 'start_y': 36.823104, 'start_vx': 1.008332, 'start_vy': -0.063412, 'end_x': 52.6824, 'end_y': 36.812736, 'end_vx': -0.205975, 'end_vy': 0.295782}, 'A10': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 50.793048000000006, 'start_y': 51.791616, 'start_vx': 1.904254, 'start_vy': -0.262258, 'end_x': 52.002324, 'end_y': 50.991408, 'end_vx': 0.151225, 'end_vy': -0.832654}, 'ball': {'teammate': False, 'actor': False, 'ball': True, 'start_x': 54.79185600000001, 'start_y': 69.546528, 'start_vx': None, 'start_vy': None, 'end_x': 29.215404, 'end_y': 55.96466399999999, 'end_vx': None, 'end_vy': None}}",0,1,7,54.79185600000001,69.546528,1,29.215404,55.96466399999999,1
7,Home,BALL LOST,INTERCEPTION,1,152,15.2,181,18.1,A02,,0.27,0.78,0.59,0.64,1,0,0,1,Pass,Interception,0,"{'A11': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 7.992323999999999, 'start_y': 36.526320000000005, 'start_vx': 0.067667, 'start_vy': 0.073413, 'end_x': 9.300528, 'end_y': 35.403624, 'end_vx': 0.821238, 'end_vy': -0.257243}, 'A01': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 34.85484, 'start_y': 65.81498400000001, 'start_vx': -3.105141, 'start_vy': -1.274548, 'end_x': 34.868556, 'end_y': 58.978944, 'end_vx': 3.209183, 'end_vy': -2.004717}, 'A02': {'teammate': True, 'actor': True, 'ball': False, 'start_x': 28.8819, 'start_y': 55.974888, 'start_vx': -1.619335, 'start_vy': -1.753358, 'end_x': 35.15994, 'end_y': 51.661872, 'end_vx': 3.809497, 'end_vy': -0.786519}, 'A03': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 24.748740000000005, 'start_y': 49.2912, 'start_vx': -2.559419, 'start_vy': 2.177349, 'end_x': 31.64778, 'end_y': 47.20788, 'end_vx': 4.138769, 'end_vy': -1.639455}, 'A04': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 29.586276000000005, 'start_y': 32.264495999999994, 'start_vx': -2.886601, 'start_vy': 0.516784, 'end_x': 32.480459999999994, 'end_y': 31.803984, 'end_vx': 3.258081, 'end_vy': 0.3015}, 'A05': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 49.779792, 'start_y': 65.473416, 'start_vx': -1.554266, 'start_vy': -1.477462, 'end_x': 49.850856, 'end_y': 59.439888, 'end_vx': 1.79313, 'end_vy': -1.942516}, 'A06': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 41.144328, 'start_y': 53.70552, 'start_vx': -0.946344, 'start_vy': -0.177999, 'end_x': 46.44972, 'end_y': 50.801256, 'end_vx': 2.539349, 'end_vy': -1.076321}, 'A07': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 37.873764, 'start_y': 42.486912, 'start_vx': -2.390803, 'start_vy': 0.338314, 'end_x': 42.618636, 'end_y': 43.948584, 'end_vx': 3.900547, 'end_vy': -0.674133}, 'A08': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 41.598684000000006, 'start_y': 27.701352, 'start_vx': -0.507054, 'start_vy': -1.00752, 'end_x': 45.449964, 'end_y': 26.374032, 'end_vx': 2.920262, 'end_vy': -0.217323}, 'A09': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 52.6824, 'start_y': 36.812736, 'start_vx': -0.205975, 'start_vy': 0.295782, 'end_x': 58.516668, 'end_y': 40.423248, 'end_vx': 3.561495, 'end_vy': 0.912807}, 'A10': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 52.002324, 'start_y': 50.991408, 'start_vx': 0.151225, 'start_vy': -0.832654, 'end_x': 56.269296, 'end_y': 49.899168, 'end_vx': 1.381693, 'end_vy': -0.310167}, 'B25': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 89.912592, 'start_y': 39.250800000000005, 'start_vx': 0.331593, 'start_vy': 0.269804, 'end_x': 89.465148, 'end_y': 40.820256, 'end_vx': -0.039854, 'end_vy': 0.076728}, 'B15': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 57.053592, 'start_y': 28.733832, 'start_vx': -0.654533, 'start_vy': 1.26006, 'end_x': 61.399080000000005, 'end_y': 35.878392, 'end_vx': 3.439823, 'end_vy': 1.463824}, 'B16': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 62.121276, 'start_y': 40.058496000000005, 'start_vx': -1.74053, 'start_vy': -0.039607, 'end_x': 60.945264, 'end_y': 47.925864, 'end_vx': 1.333976, 'end_vy': 1.370121}, 'B17': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 56.137968, 'start_y': 69.261336, 'start_vx': 1.08041, 'start_vy': -0.446791, 'end_x': 61.504920000000006, 'end_y': 62.422992, 'end_vx': 2.672046, 'end_vy': -0.102752}, 'B18': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 34.93692, 'start_y': 53.234784000000005, 'start_vx': -0.262035, 'start_vy': 0.60811, 'end_x': 39.906972, 'end_y': 51.3774, 'end_vx': 3.216988, 'end_vy': -2.049929}, 'B19': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 44.292204, 'start_y': 37.50336, 'start_vx': -0.520953, 'start_vy': -0.982471, 'end_x': 47.719584, 'end_y': 40.95468, 'end_vx': 2.168768, 'end_vy': 1.448887}, 'B20': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 58.82835600000001, 'start_y': 56.351088, 'start_vx': -3.650292, 'start_vy': -1.759118, 'end_x': 58.915836, 'end_y': 49.397832, 'end_vx': 2.028472, 'end_vy': -1.473667}, 'B21': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 37.442196, 'start_y': 66.82716, 'start_vx': 2.108079, 'start_vy': -3.173461, 'end_x': 44.590932, 'end_y': 58.243104, 'end_vx': 2.134956, 'end_vy': -2.282462}, 'B22': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 46.15596, 'start_y': 71.03505600000001, 'start_vx': -0.728884, 'start_vy': -0.960076, 'end_x': 47.634264, 'end_y': 64.85544, 'end_vx': 1.885715, 'end_vy': -1.059154}, 'B23': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 32.828004, 'start_y': 29.777616, 'start_vx': -1.747004, 'start_vy': 2.739214, 'end_x': 35.317188, 'end_y': 34.862759999999994, 'end_vx': 2.830463, 'end_vy': 0.364912}, 'B24': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 28.17666, 'start_y': 53.479656, 'start_vx': -2.14553, 'start_vy': 4.200879, 'end_x': 32.513292, 'end_y': 58.872456, 'end_vx': 3.44951, 'end_vy': -0.052385}, 'ball': {'teammate': False, 'actor': False, 'ball': True, 'start_x': 29.215404, 'start_y': 55.96466399999999, 'start_vx': None, 'start_vy': None, 'end_x': 62.801352, 'end_y': 46.457784, 'end_vx': None, 'end_vy': None}}",0,1,9,29.215404,55.96466399999999,1,62.801352,46.457784,1
8,Away,BALL LOST,HEAD-INTERCEPTION,1,182,18.2,199,19.9,B16,,0.57,0.67,0.33,0.65,1,0,0,2,Pass,Head-interception,0,"{'B25': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 89.46504, 'start_y': 40.8204, 'start_vx': -0.01228, 'start_vy': 0.029451, 'end_x': 89.876952, 'end_y': 40.148784, 'end_vx': 0.325455, 'end_vy': -0.906208}, 'B15': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 61.732152, 'start_y': 36.024768, 'start_vx': 3.323152, 'start_vy': 1.499651, 'end_x': 62.97598800000001, 'end_y': 38.1852, 'end_vx': -1.943388, 'end_vy': 0.865782}, 'B16': {'teammate': True, 'actor': True, 'ball': False, 'start_x': 61.087608, 'start_y': 48.038544, 'start_vx': 1.440143, 'start_vy': 1.101632, 'end_x': 63.56102400000001, 'end_y': 47.164824, 'end_vx': 0.546493, 'end_vy': -1.858548}, 'B17': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 61.760664000000006, 'start_y': 62.41917600000001, 'start_vx': 2.548505, 'start_vy': -0.010488, 'end_x': 62.09600400000001, 'end_y': 60.084648, 'end_vx': -1.935765, 'end_vy': -2.862965}, 'B18': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 40.217472, 'start_y': 51.174, 'start_vx': 3.080377, 'start_vy': -2.060019, 'end_x': 40.87206, 'end_y': 48.197088, 'end_vx': -1.791861, 'end_vy': -0.878991}, 'B19': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 47.92834800000001, 'start_y': 41.105304, 'start_vx': 2.090895, 'start_vy': 1.482423, 'end_x': 50.359212, 'end_y': 43.202304000000005, 'end_vx': 1.128605, 'end_vy': 0.502234}, 'B20': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 59.087340000000005, 'start_y': 49.266648, 'start_vx': 1.716802, 'start_vy': -1.34862, 'end_x': 57.408372, 'end_y': 48.296016, 'end_vx': -2.007869, 'end_vy': -0.355915}, 'B21': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 44.784144, 'start_y': 58.018536000000005, 'start_vx': 1.912302, 'start_vy': -2.254456, 'end_x': 45.106524, 'end_y': 54.3276, 'end_vx': -0.590833, 'end_vy': -2.186523}, 'B22': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 47.815596000000006, 'start_y': 64.755288, 'start_vx': 1.826763, 'start_vy': -1.003722, 'end_x': 48.827448, 'end_y': 62.456976, 'end_vx': -0.487548, 'end_vy': -1.907898}, 'B23': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 35.60112, 'start_y': 34.898832, 'start_vx': 2.842026, 'start_vy': 0.36936, 'end_x': 38.491308, 'end_y': 36.605592, 'end_vx': 0.294963, 'end_vy': 1.701749}, 'B24': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 32.85792, 'start_y': 58.866624, 'start_vx': 3.442964, 'start_vy': -0.096881, 'end_x': 35.643456, 'end_y': 56.0232, 'end_vx': -0.984164, 'end_vy': -3.341416}, 'A11': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 9.3852, 'start_y': 35.384184, 'start_vx': 0.828808, 'start_vy': -0.21095, 'end_x': 10.350504, 'end_y': 35.221031999999994, 'end_vx': 0.231377, 'end_vy': -0.00193}, 'A01': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 35.19612, 'start_y': 58.790304000000006, 'start_vx': 3.257192, 'start_vy': -1.907196, 'end_x': 37.281276000000005, 'end_y': 55.150632, 'end_vx': -1.527916, 'end_vy': -2.730801}, 'A02': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 35.523468, 'start_y': 51.576768, 'start_vx': 3.641624, 'start_vy': -0.84601, 'end_x': 39.187368, 'end_y': 48.251376, 'end_vx': 1.005561, 'end_vy': -2.379998}, 'A03': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 32.049108000000004, 'start_y': 47.051064, 'start_vx': 3.995791, 'start_vy': -1.596498, 'end_x': 34.51356, 'end_y': 44.551872, 'end_vx': -0.483611, 'end_vy': -1.366602}, 'A04': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 32.802516000000004, 'start_y': 31.844448, 'start_vx': 3.235854, 'start_vy': 0.428351, 'end_x': 35.647668, 'end_y': 34.583831999999994, 'end_vx': -0.206142, 'end_vy': 2.057745}, 'A05': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 50.019876, 'start_y': 59.25369599999999, 'start_vx': 1.698966, 'start_vy': -1.836337, 'end_x': 50.084784, 'end_y': 58.055976, 'end_vx': -1.177135, 'end_vy': 0.202869}, 'A06': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 46.682028, 'start_y': 50.705712, 'start_vx': 2.309682, 'start_vy': -0.97917, 'end_x': 46.5912, 'end_y': 49.892904, 'end_vx': -1.35581, 'end_vy': -0.670565}, 'A07': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 42.978816, 'start_y': 43.87723200000001, 'start_vx': 3.609458, 'start_vy': -0.649467, 'end_x': 43.415784, 'end_y': 43.36776, 'end_vx': -1.649354, 'end_vy': -0.115703}, 'A08': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 45.738756, 'start_y': 26.351784, 'start_vx': 2.884957, 'start_vy': -0.24525, 'end_x': 49.430196, 'end_y': 26.475912, 'end_vx': 1.60815, 'end_vy': 0.652189}, 'A09': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 58.856544, 'start_y': 40.500144, 'start_vx': 3.388599, 'start_vy': 0.766241, 'end_x': 60.113448000000005, 'end_y': 40.15641599999999, 'end_vx': -1.404191, 'end_vy': -0.144106}, 'A10': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 56.383344, 'start_y': 49.869648, 'start_vx': 1.137253, 'start_vy': -0.316535, 'end_x': 55.967868, 'end_y': 48.964752, 'end_vx': -0.743783, 'end_vy': -0.737136}, 'ball': {'teammate': False, 'actor': False, 'ball': True, 'start_x': 60.801300000000005, 'start_y': 47.986632, 'start_vx': None, 'start_vy': None, 'end_x': 36.445788, 'end_y': 46.952136, 'end_vx': None, 'end_vy': None}}",0,1,11,60.801300000000005,47.986632,1,36.445788,46.952136,1
11,Home,BALL LOST,INTERCEPTION,1,229,22.9,247,24.7,A10,,0.5,0.65,0.67,0.44,1,0,0,1,Pass,Interception,0,"{'A11': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 10.472868000000002, 'start_y': 35.244864, 'start_vx': -0.020092, 'start_vy': -0.066802, 'end_x': 10.910376, 'end_y': 35.190792, 'end_vx': 0.579479, 'end_vy': -0.179659}, 'A01': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 39.464712000000006, 'start_y': 53.48419200000001, 'start_vx': 2.734855, 'start_vy': 1.062149, 'end_x': 44.13247199999999, 'end_y': 53.442936, 'end_vx': 2.487718, 'end_vy': -0.918738}, 'A02': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 37.052208, 'start_y': 45.970344, 'start_vx': 0.067521, 'start_vy': 0.420399, 'end_x': 39.605436000000005, 'end_y': 45.50508000000001, 'end_vx': 2.265568, 'end_vy': -1.235396}, 'A03': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 37.070892, 'start_y': 41.422464, 'start_vx': 1.397684, 'start_vy': -0.773883, 'end_x': 40.657896, 'end_y': 39.694536, 'end_vx': 2.602767, 'end_vy': -1.354713}, 'A04': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 38.077128, 'start_y': 32.278824, 'start_vx': 2.366288, 'start_vy': -2.55932, 'end_x': 43.545168, 'end_y': 27.302184, 'end_vx': 3.367717, 'end_vy': -2.803813}, 'A05': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 52.49858400000001, 'start_y': 56.604528, 'start_vx': 2.615123, 'start_vy': -1.643649, 'end_x': 58.382316, 'end_y': 54.452808000000005, 'end_vx': 3.478073, 'end_vy': -0.888084}, 'A06': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 50.863572, 'start_y': 47.06424, 'start_vx': 2.064882, 'start_vy': -0.64944, 'end_x': 54.50274, 'end_y': 43.90236, 'end_vx': 2.413981, 'end_vy': -2.081512}, 'A07': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 47.167488000000006, 'start_y': 40.4082, 'start_vx': 1.814058, 'start_vy': -1.655564, 'end_x': 51.44148, 'end_y': 36.185616, 'end_vx': 3.038274, 'end_vy': -3.184802}, 'A08': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 60.114096, 'start_y': 28.439064, 'start_vx': 5.312691, 'start_vy': 0.598991, 'end_x': 69.31386, 'end_y': 29.976336000000003, 'end_vx': 4.189413, 'end_vy': 1.544645}, 'A09': {'teammate': True, 'actor': False, 'ball': False, 'start_x': 56.679588, 'start_y': 46.768464, 'start_vx': 2.295566, 'start_vy': 2.78681, 'end_x': 65.77912799999999, 'end_y': 46.666944, 'end_vx': 6.386518, 'end_vy': -2.406697}, 'A10': {'teammate': True, 'actor': True, 'ball': False, 'start_x': 54.234252000000005, 'start_y': 47.090016000000006, 'start_vx': 0.331137, 'start_vy': 0.429145, 'end_x': 57.33914400000001, 'end_y': 45.147744, 'end_vx': 2.934446, 'end_vy': -2.912576}, 'B25': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 91.462068, 'start_y': 37.855584, 'start_vx': 1.340658, 'start_vy': -0.307333, 'end_x': 94.842792, 'end_y': 36.16524, 'end_vx': 2.41602, 'end_vy': -1.471002}, 'B15': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 55.501848, 'start_y': 45.36468000000001, 'start_vx': 2.65611, 'start_vy': 1.37873, 'end_x': 62.416116, 'end_y': 43.562808, 'end_vx': 4.705051, 'end_vy': -3.122945}, 'B16': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 65.164068, 'start_y': 41.38826400000001, 'start_vx': 1.615977, 'start_vy': -2.647507, 'end_x': 68.859396, 'end_y': 33.390864, 'end_vx': 2.106672, 'end_vy': -5.61244}, 'B17': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 62.584596, 'start_y': 53.66052, 'start_vx': 2.77855, 'start_vy': -0.561338, 'end_x': 69.53742, 'end_y': 49.695768, 'end_vx': 4.872915, 'end_vy': -3.816765}, 'B18': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 45.3384, 'start_y': 45.921168, 'start_vx': 3.591015, 'start_vy': -1.238502, 'end_x': 51.287580000000005, 'end_y': 42.572736000000006, 'end_vx': 2.962093, 'end_vy': -2.326688}, 'B19': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 52.325892, 'start_y': 41.589504, 'start_vx': 2.368206, 'start_vy': -1.47835, 'end_x': 58.120848, 'end_y': 36.338112, 'end_vx': 3.076014, 'end_vy': -4.642427}, 'B20': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 54.330588, 'start_y': 44.461944, 'start_vx': -1.07538, 'start_vy': 1.787666, 'end_x': 55.71828000000001, 'end_y': 46.146528, 'end_vx': 3.060166, 'end_vy': -0.374638}, 'B21': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 52.422444, 'start_y': 50.17788, 'start_vx': 4.986496, 'start_vy': -1.429192, 'end_x': 60.343164, 'end_y': 47.533968, 'end_vx': 3.273339, 'end_vy': -2.117926}, 'B22': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 53.876448, 'start_y': 56.759040000000006, 'start_vx': 3.466055, 'start_vy': -1.748291, 'end_x': 60.683040000000005, 'end_y': 54.71388, 'end_vx': 3.939608, 'end_vy': -1.41005}, 'B23': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 41.79114, 'start_y': 36.600768, 'start_vx': 2.673176, 'start_vy': -1.061077, 'end_x': 46.931184, 'end_y': 32.759424, 'end_vx': 2.772181, 'end_vy': -3.549224}, 'B24': {'teammate': False, 'actor': False, 'ball': False, 'start_x': 36.43704, 'start_y': 51.170328, 'start_vx': 2.673723, 'start_vy': 0.056361, 'end_x': 41.047884, 'end_y': 51.41196, 'end_vx': 2.25973, 'end_vy': -0.052723}, 'ball': {'teammate': False, 'actor': False, 'ball': True, 'start_x': 54.238032, 'start_y': 47.057688, 'start_vx': None, 'start_vy': None, 'end_x': 71.290152, 'end_y': 32.14015199999999, 'end_vx': None, 'end_vy': None}}",0,1,17,54.238032,47.057688,1,71.290152,32.14015199999999,1
